date,home_team_api_id,away_team_api_id,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,betting_odds_home_avrg,betting_odds_draw_avrg,betting_odds_away_avrg,home_team_rating_avrg,away_team_rating_avrg,home_prev_5_goal_diff,away_prev_5_goal_diff,match_outcome
2008-11-16,8667,8456,4.8,8.4,6.0,6.2,13.8,15.0,1.8,1.6,0.0,0.2,13.4,12.2,3.0,4.6,46.8,52.4,2.7222222222222223,3.2444444444444445,2.477777777777778,71.0,78.0909090909091,3.0,-2.0,0
2008-11-16,8668,8549,5.6,4.8,4.6,4.8,13.2,11.2,2.0,1.6,0.0,0.0,23.2,16.2,4.6,3.6,48.4,45.4,1.8444444444444446,3.3777777777777778,4.177777777777778,79.45454545454545,74.0909090909091,2.0,-1.0,0
2008-11-22,8462,8667,5.8,4.6,7.0,6.0,10.8,13.8,1.0,1.8,0.0,0.0,15.2,18.2,5.4,3.6,48.0,51.0,1.8088888888888885,3.4111111111111105,4.364444444444445,75.0909090909091,71.0,-1.0,2.0,0
2008-11-22,10194,8659,2.6,6.2,2.8,8.2,14.0,9.8,2.0,1.8,0.0,0.0,15.8,17.6,3.8,6.8,43.8,50.6,2.161111111111111,3.227777777777778,3.3055555555555554,69.81818181818181,71.0909090909091,-6.0,-10.0,1
2008-11-22,8456,9825,7.0,7.4,4.8,8.0,15.2,10.4,1.8,2.2,0.2,0.2,14.2,22.4,3.8,7.4,50.0,56.6,3.261111111111111,3.2944444444444443,2.1500000000000004,78.45454545454545,76.18181818181819,-2.0,0.0,1
2008-11-22,10252,10260,5.0,9.6,4.8,8.4,15.8,10.2,2.4,1.8,0.0,0.0,20.2,16.0,6.6,6.0,52.0,52.0,4.52,3.4777777777777774,1.7699999999999998,78.9090909090909,84.0,3.0,7.0,0
2008-11-22,8549,8559,4.8,8.0,5.4,5.8,11.8,13.0,2.0,1.6,0.0,0.0,16.2,19.0,3.4,5.8,45.4,49.6,1.8688888888888888,3.3333333333333335,4.195555555555556,74.54545454545455,74.72727272727273,-2.0,-2.0,2
2008-11-22,8636,9885,6.8,6.4,8.2,9.0,15.0,15.6,2.8,1.0,0.2,0.0,24.0,16.2,7.2,5.4,51.6,51.0,2.0555555555555554,3.031111111111111,3.7111111111111117,83.63636363636364,80.72727272727273,5.0,4.0,1
2008-11-22,8650,9879,6.2,6.2,7.6,5.8,11.6,10.8,1.6,0.6,0.0,0.0,13.4,18.8,3.8,5.8,47.6,49.4,1.2522222222222221,5.277777777777778,12.11111111111111,81.36363636363636,74.36363636363636,6.0,3.0,0
2008-11-22,8455,10261,8.8,4.6,9.2,6.2,10.4,12.8,1.2,1.4,0.0,0.2,20.4,16.0,6.6,3.8,57.0,49.4,1.202222222222222,5.800000000000001,14.555555555555555,83.72727272727273,76.36363636363636,14.0,2.0,0
2008-11-23,8472,8654,4.4,7.6,4.0,4.8,9.8,12.4,2.0,1.8,0.0,0.2,19.4,13.2,5.8,5.2,49.6,46.2,2.105555555555556,3.3111111111111113,3.3555555555555556,73.45454545454545,76.18181818181819,-4.0,-6.0,2
2008-11-23,8586,8655,5.0,5.0,6.0,5.8,12.6,13.6,1.4,2.8,0.2,0.0,18.0,18.0,2.6,5.0,48.6,44.4,1.73,3.5,4.711111111111112,79.36363636363636,74.45454545454545,3.0,-5.0,1
2008-11-24,8528,8668,6.4,6.2,7.4,5.8,12.8,12.6,2.0,1.2,0.0,0.0,25.0,27.4,6.4,5.8,50.8,51.6,2.5166666666666666,3.222222222222222,2.703333333333333,73.18181818181819,79.45454545454545,-5.0,4.0,1
